15:10:20,2768.68,25400,91.89,0.3
15:11:18,2827.09,26100,91.93,0.3
15:11:36,2845.11,26200,91.94,0.3
15:11:44,2853.14,26400,91.96,0.3
15:12:08,2876.7,26600,91.95,0.3
15:12:58,2926.97,27200,92.0,0.3
15:13:13,2941.59,27400,92.01,0.3
15:13:14,2942.62,27500,92.04,0.3
15:13:45,2973.6,27700,92.01,0.3
15:14:01,2989.98,27800,92.0,0.3
15:14:09,2997.67,27900,92.0,0.3
15:14:37,3025.71,28200,92.0,0.3
15:14:58,3046.78,28400,92.0,0.3
15:15:16,3064.68,28600,92.01,0.3
15:15:44,3092.49,28800,91.98,0.3
15:16:19,3127.78,29000,91.96,0.3
15:16:37,3146.19,29100,91.95,0.3
15:17:27,3195.85,29800,92.01,0.3
15:18:09,3237.48,29900,91.98,0.3
15:19:30,3318.41,30600,91.91,0.3
15:19:56,3344.37,30700,91.91,0.3
15:20:21,3370.24,30800,91.88,0.3
15:20:31,3380.31,30900,91.83,0.3
15:20:46,3395.11,31000,91.85,0.3
15:22:23,3491.98,31400,91.75,0.3
15:22:43,3511.67,31500,91.75,0.3
15:22:44,3512.71,31600,91.75,0.3
15:23:12,3540.86,31800,91.74,0.3
15:23:44,3572.61,31900,91.73,0.3
15:24:03,3591.37,32000,91.67,0.3
